lista_nominal,frecuencia,frecuencia_%
1439,0.0007680491551459293,0.08
1432,0.0007680491551459293,0.08
2097,0.0007680491551459293,0.08
1677,0.0007680491551459293,0.08
2010,0.0007680491551459293,0.08
1675,0.0007680491551459293,0.08
1771,0.0007680491551459293,0.08
466,0.0007680491551459293,0.08
1239,0.0007680491551459293,0.08
2050,0.0007680491551459293,0.08
546,0.0007680491551459293,0.08
2886,0.0007680491551459293,0.08
2572,0.0007680491551459293,0.08
1142,0.0007680491551459293,0.08
1406,0.0007680491551459293,0.08
303,0.0007680491551459293,0.08
707,0.0007680491551459293,0.08
1058,0.0007680491551459293,0.08
1165,0.0007680491551459293,0.08
322,0.0007680491551459293,0.08
2239,0.0007680491551459293,0.08
1697,0.0007680491551459293,0.08
718,0.0007680491551459293,0.08
807,0.0007680491551459293,0.08
1316,0.0007680491551459293,0.08
1020,0.0007680491551459293,0.08
1272,0.0007680491551459293,0.08
724,0.0007680491551459293,0.08
1295,0.0007680491551459293,0.08
571,0.0007680491551459293,0.08
1835,0.0007680491551459293,0.08
540,0.0007680491551459293,0.08
826,0.0007680491551459293,0.08
1539,0.0007680491551459293,0.08
988,0.0007680491551459293,0.08
832,0.0007680491551459293,0.08
2877,0.0007680491551459293,0.08
1413,0.0007680491551459293,0.08
2984,0.0007680491551459293,0.08
666,0.0007680491551459293,0.08
380,0.0007680491551459293,0.08
946,0.0007680491551459293,0.08
2015,0.0007680491551459293,0.08
704,0.0007680491551459293,0.08
1273,0.0007680491551459293,0.08
892,0.0007680491551459293,0.08
594,0.0007680491551459293,0.08
569,0.0007680491551459293,0.08
814,0.0007680491551459293,0.08
2041,0.0007680491551459293,0.08
1236,0.0007680491551459293,0.08
1183,0.0007680491551459293,0.08
1085,0.0007680491551459293,0.08
878,0.0007680491551459293,0.08
1200,0.0007680491551459293,0.08
645,0.0007680491551459293,0.08
1087,0.0007680491551459293,0.08
1444,0.0007680491551459293,0.08
1833,0.0007680491551459293,0.08
1290,0.0007680491551459293,0.08
1246,0.0007680491551459293,0.08
2404,0.0007680491551459293,0.08
1574,0.0007680491551459293,0.08
1314,0.0007680491551459293,0.08
1471,0.0007680491551459293,0.08
2357,0.0007680491551459293,0.08
945,0.0007680491551459293,0.08
1763,0.0007680491551459293,0.08
2111,0.0007680491551459293,0.08
1775,0.0007680491551459293,0.08
575,0.0007680491551459293,0.08
3557,0.0007680491551459293,0.08
1787,0.0007680491551459293,0.08
1562,0.0007680491551459293,0.08
1213,0.0007680491551459293,0.08
1380,0.0007680491551459293,0.08
1001,0.0007680491551459293,0.08
1298,0.0007680491551459293,0.08
1229,0.0007680491551459293,0.08
1212,0.0007680491551459293,0.08
2221,0.0007680491551459293,0.08
1587,0.0007680491551459293,0.08
963,0.0007680491551459293,0.08
939,0.0007680491551459293,0.08
757,0.0007680491551459293,0.08
1310,0.0007680491551459293,0.08
1193,0.0007680491551459293,0.08
1613,0.0007680491551459293,0.08
1242,0.0007680491551459293,0.08
579,0.0007680491551459293,0.08
2588,0.0007680491551459293,0.08
1102,0.0007680491551459293,0.08
2227,0.0007680491551459293,0.08
1286,0.0007680491551459293,0.08
1070,0.0007680491551459293,0.08
978,0.0007680491551459293,0.08
2014,0.0007680491551459293,0.08
1905,0.0007680491551459293,0.08
1417,0.0007680491551459293,0.08
999,0.0007680491551459293,0.08
224,0.0007680491551459293,0.08
1121,0.0007680491551459293,0.08
1181,0.0007680491551459293,0.08
2253,0.0007680491551459293,0.08
556,0.0007680491551459293,0.08
930,0.0007680491551459293,0.08
1674,0.0007680491551459293,0.08
1608,0.0007680491551459293,0.08
1041,0.0007680491551459293,0.08
753,0.0007680491551459293,0.08
819,0.0007680491551459293,0.08
1241,0.0007680491551459293,0.08
1155,0.0007680491551459293,0.08
746,0.0007680491551459293,0.08
1235,0.0007680491551459293,0.08
539,0.0007680491551459293,0.08
681,0.0007680491551459293,0.08
495,0.0007680491551459293,0.08
853,0.0007680491551459293,0.08
1468,0.0007680491551459293,0.08
765,0.0007680491551459293,0.08
934,0.0007680491551459293,0.08
873,0.0007680491551459293,0.08
2072,0.0007680491551459293,0.08
1940,0.0007680491551459293,0.08
772,0.0007680491551459293,0.08
492,0.0007680491551459293,0.08
470,0.0007680491551459293,0.08
1261,0.0007680491551459293,0.08
1472,0.0007680491551459293,0.08
1446,0.0007680491551459293,0.08
1350,0.0007680491551459293,0.08
