lista_hombres,frecuencia,frecuencia_%
365,0.0007680491551459293,0.08
704,0.0007680491551459293,0.08
526,0.0007680491551459293,0.08
916,0.0007680491551459293,0.08
1099,0.0007680491551459293,0.08
728,0.0007680491551459293,0.08
402,0.0007680491551459293,0.08
250,0.0007680491551459293,0.08
905,0.0007680491551459293,0.08
784,0.0007680491551459293,0.08
762,0.0007680491551459293,0.08
972,0.0007680491551459293,0.08
714,0.0007680491551459293,0.08
691,0.0007680491551459293,0.08
376,0.0007680491551459293,0.08
163,0.0007680491551459293,0.08
1254,0.0007680491551459293,0.08
943,0.0007680491551459293,0.08
833,0.0007680491551459293,0.08
485,0.0007680491551459293,0.08
393,0.0007680491551459293,0.08
186,0.0007680491551459293,0.08
666,0.0007680491551459293,0.08
621,0.0007680491551459293,0.08
353,0.0007680491551459293,0.08
342,0.0007680491551459293,0.08
1069,0.0007680491551459293,0.08
383,0.0007680491551459293,0.08
1366,0.0007680491551459293,0.08
598,0.0007680491551459293,0.08
279,0.0007680491551459293,0.08
825,0.0007680491551459293,0.08
1203,0.0007680491551459293,0.08
696,0.0007680491551459293,0.08
469,0.0007680491551459293,0.08
866,0.0007680491551459293,0.08
978,0.0007680491551459293,0.08
1274,0.0007680491551459293,0.08
925,0.0007680491551459293,0.08
346,0.0007680491551459293,0.08
1037,0.0007680491551459293,0.08
730,0.0007680491551459293,0.08
815,0.0007680491551459293,0.08
854,0.0007680491551459293,0.08
615,0.0007680491551459293,0.08
1073,0.0007680491551459293,0.08
419,0.0007680491551459293,0.08
630,0.0007680491551459293,0.08
312,0.0007680491551459293,0.08
252,0.0007680491551459293,0.08
1048,0.0007680491551459293,0.08
470,0.0007680491551459293,0.08
597,0.0007680491551459293,0.08
838,0.0007680491551459293,0.08
1060,0.0007680491551459293,0.08
795,0.0007680491551459293,0.08
545,0.0007680491551459293,0.08
261,0.0007680491551459293,0.08
1175,0.0007680491551459293,0.08
946,0.0007680491551459293,0.08
840,0.0007680491551459293,0.08
1165,0.0007680491551459293,0.08
374,0.0007680491551459293,0.08
1219,0.0007680491551459293,0.08
1872,0.0007680491551459293,0.08
1248,0.0007680491551459293,0.08
1189,0.0007680491551459293,0.08
613,0.0007680491551459293,0.08
372,0.0007680491551459293,0.08
894,0.0007680491551459293,0.08
670,0.0007680491551459293,0.08
487,0.0007680491551459293,0.08
928,0.0007680491551459293,0.08
263,0.0007680491551459293,0.08
541,0.0007680491551459293,0.08
440,0.0007680491551459293,0.08
301,0.0007680491551459293,0.08
488,0.0007680491551459293,0.08
798,0.0007680491551459293,0.08
1074,0.0007680491551459293,0.08
578,0.0007680491551459293,0.08
892,0.0007680491551459293,0.08
1270,0.0007680491551459293,0.08
1226,0.0007680491551459293,0.08
831,0.0007680491551459293,0.08
768,0.0007680491551459293,0.08
778,0.0007680491551459293,0.08
591,0.0007680491551459293,0.08
257,0.0007680491551459293,0.08
920,0.0007680491551459293,0.08
213,0.0007680491551459293,0.08
315,0.0007680491551459293,0.08
554,0.0007680491551459293,0.08
525,0.0007680491551459293,0.08
941,0.0007680491551459293,0.08
1346,0.0007680491551459293,0.08
888,0.0007680491551459293,0.08
889,0.0007680491551459293,0.08
654,0.0007680491551459293,0.08
562,0.0007680491551459293,0.08
684,0.0007680491551459293,0.08
266,0.0007680491551459293,0.08
807,0.0007680491551459293,0.08
734,0.0007680491551459293,0.08
1155,0.0007680491551459293,0.08
1283,0.0007680491551459293,0.08
698,0.0007680491551459293,0.08
201,0.0007680491551459293,0.08
275,0.0007680491551459293,0.08
333,0.0007680491551459293,0.08
923,0.0007680491551459293,0.08
223,0.0007680491551459293,0.08
1123,0.0007680491551459293,0.08
320,0.0007680491551459293,0.08
95,0.0007680491551459293,0.08
276,0.0007680491551459293,0.08
132,0.0007680491551459293,0.08
1127,0.0007680491551459293,0.08
351,0.0007680491551459293,0.08
626,0.0007680491551459293,0.08
748,0.0007680491551459293,0.08
183,0.0007680491551459293,0.08
189,0.0007680491551459293,0.08
141,0.0007680491551459293,0.08
1427,0.0007680491551459293,0.08
752,0.0007680491551459293,0.08
